data_base,regiao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2018-03-01,nordeste,86874842364.8,2604782118.24,1059111,82026.19212226103
2018-03-01,norte,17416057448.54,468899319.48,183153,95090.21118158044
2018-03-01,sudeste,286233638203.1,3728838696.36,2674542,107021.55292498677
2018-03-01,sul,110662262955.88,1419552484.37,1246002,88813.87265500377
2018-04-01,centro-oeste,63401655964.84,1483171028.28,668114,94896.46372451408
2018-04-01,nordeste,87331250898.73,2612453308.18,1064674,82026.28306761506
2018-04-01,norte,17477268592.37,468322051.08,183828,95074.02894210893
2018-04-01,sudeste,287495601649.29,3807314882.21,2687102,106990.95220400639
2018-04-01,sul,111158844913.86,1379814501.6,1251374,88829.43461655748
2018-05-01,centro-oeste,63700424664.87,1496853373.85,671201,94905.13968970547
2018-05-01,nordeste,87807915360.27,2646129298.13,1067828,82230.39231062494
2018-05-01,norte,17543973678.3,462317859.45,183713,95496.63702786411
2018-05-01,sudeste,289061392795.49,3798277121.94,2701356,107006.03430110285
2018-05-01,sul,111744456865.79,1330892984.57,1257746,88845.01073013946
2018-06-01,centro-oeste,64055994972.31,1399977237.71,674857,94917.87885775801
2018-06-01,nordeste,88339087355.75,2464875742.85,1073350,82302.21955163739
2018-06-01,norte,17620329377.43,439001111.69,184251,95632.20485875246
2018-06-01,sudeste,290790797288.12,3417951967.77,2715926,107068.74829731001
2018-06-01,sul,112406399172.47,1166274660.08,1264473,88895.84765548178
2018-07-01,centro-oeste,64375053318.840004,1410382692.94,677325,95043.07875663825
2018-07-01,nordeste,88803232362.87,2510297668.01,1077152,82442.61939157147
2018-07-01,norte,17682336188.59,436155859.05,184538,95819.48535580748
2018-07-01,sudeste,292232396146.65,3484564070.4,2728321,107110.70880099887
2018-07-01,sul,112977555538.1,1208614649.15,1269834,88970.33434141785
2018-08-01,centro-oeste,64743966908.54,1290049386.6,680549,95134.90859370891
2018-08-01,nordeste,89427265746.86,2302809817.92,1083538,82532.65298204585
2018-08-01,norte,17762072762.35,378175030.07,185318,95846.45184142931
2018-08-01,sudeste,294013444144.49,3154293466.4,2743649,107161.46421954484
2018-08-01,sul,113630757384.41,1077443265.22,1274709,89142.5081209986
2018-12-01,centro-oeste,65984221612.56,1094303727.07,711237,92773.88776534404
2018-12-01,nordeste,91464911956.46,1877718846.15,1130868,80880.27246014566
2018-12-01,norte,18232706308.02,317597868.38,195490,93266.69552417003
2018-12-01,sudeste,301179531471.2,2785358235.85,2933670,102663.05735518991
2018-12-01,sul,116433924308.59,894931356.89,1378739,84449.57624944967
