data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2018-07-01,Sem Renda,480268431.96999997,27675760.279999997,2837,169287.42755375395
2018-07-01,alta,163597454446.83,1732482487.81,760460,215129.59846254898
2018-07-01,baixa,205100841237.12,4372232059.83,3230470,63489.47405087185
2018-07-01,media,206892009439.13,2917624631.63,1943403,106458.62409347418
2018-08-01,Sem Renda,431754693.39,38559591.51,2187,197418.6983950617
2018-08-01,alta,164167683044.4,1526993898.65,761511,215581.4992093351
2018-08-01,baixa,207014098824.95,3997438702.78,3248568,63724.72388601686
2018-08-01,media,207963970383.91,2639778773.27,1955497,106348.3965375094
2018-12-01,Sem Renda,74119402.0,923038.73,521,142263.7274472169
2018-12-01,alta,165223722456.81,1255923910.58,787725,209747.97354001715
2018-12-01,baixa,217009414128.03,3448489346.35,3501513,61975.89845533345
2018-12-01,indisponivel,218905208.53,8897224.77,1183,185042.44169907016
2018-12-01,media,210769134461.46,2255676513.91,2059062,102361.72318340099
2019-01-01,Sem Renda,76921537.66,833183.3500000001,589,130596.83813242783
2019-01-01,alta,157628308116.48,1408307361.67,750413,210055.40697786422
2019-01-01,baixa,225917943340.23,4117778451.75,3636837,62119.34803243313
2019-01-01,indisponivel,223092970.28,8573344.27,1191,187315.67613769943
2019-01-01,media,208853654588.33,2573574450.6,2034024,102680.0345464606
2019-02-01,Sem Renda,76274797.17,634498.0800000001,596,127977.84760067114
2019-02-01,alta,159380761224.74,1366759273.73,759686,209798.20771310778
2019-02-01,baixa,226789568127.69,4370766310.73,3640963,62288.34737614472
2019-02-01,indisponivel,240645003.87,9585668.0,1294,185969.86388717155
2019-02-01,media,209979047381.29,2656077205.34,2044664,102696.11407120682
2019-03-01,Sem Renda,60457365177.62,1518560163.24,898857,67260.27074119687
2019-03-01,alta,150568339861.64,1153736030.31,712617,211289.28984523244
2019-03-01,baixa,195064301746.04,4047946496.04,2972514,65622.668806956
2019-03-01,indisponivel,988119679.61,24604288.43,14505,68122.69421647707
2019-03-01,media,192683846066.6,2475752230.89,1858741,103663.63364589257
2019-04-01,Sem Renda,60370103125.37,1485679514.43,878847,68692.39256135595
2019-04-01,alta,150111780057.03,1086048054.16,710005,211423.55343558145
2019-04-01,baixa,193965169686.15,4055188751.71,2916723,66501.05947193134
2019-04-01,indisponivel,5563381612.34,94981401.42999999,68570,81134.33881201693
2019-04-01,media,191942392792.01,2419614268.63,1844615,104055.53071617112
2019-05-01,Sem Renda,60981571903.5,1526514724.32,886223,68810.64010243471
2019-05-01,alta,150569897117.49,1113270818.93,711204,211711.263037736
2019-05-01,baixa,195890979931.69,4222542436.93,2934185,66761.63225280274
2019-05-01,indisponivel,2939776337.08,55811161.29,37180,79068.75570414201
2019-05-01,media,194337025103.55,2472868342.44,1865761,104159.6566245891
2019-06-01,Sem Renda,61082545107.25,1452094741.49,887027,68862.10352926124
2019-06-01,alta,152690240021.55,1061157434.83,724650,210708.94917760298
2019-06-01,baixa,199116529224.51,4135145532.82,2966080,67131.20658394582
2019-06-01,indisponivel,3229768976.55,51013402.67,40955,78861.40829080698
2019-06-01,media,192079829062.26,2171369094.15,1838927,104452.12292943658
2019-07-01,Sem Renda,62101962322.02,1677140372.86,895201,69372.08774567946
2019-07-01,alta,153552688684.15,1127908508.85,728381,210813.6932239446
2019-07-01,baixa,199490766387.27,4493941226.64,2956810,67468.23988936387
2019-07-01,indisponivel,2954126439.15,50890181.03,37326,79143.93289262177
2019-07-01,media,193817857244.29,2346127137.79,1855317,104466.16790785079
2019-08-01,Sem Renda,62167097672.25,1702944531.2,894952,69464.1697792172
