data_base,regime,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2017-04-01,Empresa_Privada,173071525909.24,2281741768.94,1802208,96033.0471894698
2017-04-01,Empresario,94044754954.56,2448773715.48,635779,147920.51161576586
2017-04-01,Setor_Publico,101510186688.66,945469902.51,933834,108702.6031271725
2017-04-01,outro,149378525190.52,3856242047.26,1994057,74911.86319674914
2017-05-01,Aposentado,17008662620.61,219283281.1,208954,81399.07645036707
2017-05-01,Empresa_Privada,174371032954.93,2343045000.59,1812744,96191.7584363429
2017-05-01,Empresario,94056496063.69,2454244107.36,636398,147795.0843083888
2017-05-01,Setor_Publico,102002164702.44,973811324.9399999,936420,108927.79383443327
2017-05-01,outro,150627531091.83,3934170627.28,2001629,75252.47240713937
2017-06-01,Aposentado,16958506096.87,183797991.14,208346,81395.88039544797
2017-06-01,Empresa_Privada,176057272171.92,1776398465.1399999,1825469,96444.9531446001
2017-06-01,Empresario,94163807429.74,1925527280.0,637342,147744.5506960784
2017-06-01,Setor_Publico,102610054323.44,769628321.78,939561,109210.63594959774
2017-06-01,outro,152181140031.93,3173781276.85,2013575,75577.58714323032
2017-07-01,Aposentado,16919433349.35,202296460.43,207796,81423.28701875878
2017-07-01,Empresa_Privada,177743090931.15,2120325844.65,1838680,96668.85533706246
2017-07-01,Empresario,94360509213.53,2257331245.16,638800,147715.26176194428
2017-07-01,Setor_Publico,103208025942.16,889482694.0,943331,109408.07197278581
2017-07-01,outro,153690869149.81,3611317100.35,2026467,75841.7823482001
2017-08-01,Aposentado,16860185776.99,205992978.43,207471,81265.26491408437
2017-08-01,Empresa_Privada,179247071883.76,2073751421.61,1852211,96774.65034154317
2017-08-01,Empresario,94428429233.02,2127027595.77,639863,147576.0111664841
2017-08-01,Setor_Publico,103706655439.33,864271365.55,947444,109459.40386907301
2017-08-01,outro,155219939252.1,3564804446.83,2041435,76034.72030806761
2017-09-01,Aposentado,16790672439.81,203767387.55,206903,81152.38754300323
2017-09-01,Empresa_Privada,180288051237.42,2058061415.26,1860807,96887.02333848702
2017-09-01,Empresario,94428637257.35,2116744201.3,640433,147444.98996358714
2017-09-01,Setor_Publico,103983049776.72,867673623.11,950454,109403.55848543959
2017-09-01,outro,156257934090.42,3542914802.44,2051082,76183.17263299078
2017-10-01,Aposentado,16708350345.12,199376558.12,206133,81056.16444295674
2017-10-01,Empresa_Privada,181044033956.8,2114544607.16,1867304,96954.77220463299
2017-10-01,Empresario,94316662612.51,2118843551.41,640658,147218.4263874173
2017-10-01,Setor_Publico,104176311998.11,864948281.18,951444,109492.84666056016
2017-10-01,outro,157208218304.28,3663682827.0099998,2051339,76636.87879198903
2017-11-01,Aposentado,16609465195.78,195483535.31,205663,80760.58987654561
2017-11-01,Empresa_Privada,182022320670.22,2106643751.03,1878875,96878.35575555585
2017-11-01,Empresario,94262046854.24,2052189773.21,640949,147066.37634857063
2017-11-01,Setor_Publico,104284669645.52,860326215.93,954459,109260.5021750751
2017-11-01,outro,158688665368.21,3665834607.92,2056657,77158.5467913269
2017-12-01,Aposentado,16500592219.29,161419549.62,204810,80565.3640900835
2017-12-01,Empresa_Privada,182850638129.92,1589221288.57,1886212,96940.66103381805
2017-12-01,Empresario,94047611260.69,1626544142.29,640950,146731.5878940479
2017-12-01,Setor_Publico,104376085745.33,679284803.71,955071,109286.20568034209
2017-12-01,outro,159874685852.46,3051802646.72,2067307,77334.75765934135
2018-01-01,Aposentado,23986863422.16,274826766.48,287842,83333.43786577358
2018-01-01,Empresa_Privada,185873322728.8,2308504476.0,1973256,94196.25366845456
2018-01-01,Empresario,103343860663.93001,2330484327.35,724567,142628.43969423117
2018-01-01,Setor_Publico,103325955112.54,929557067.67,961929,107415.36549219329
2018-01-01,outro,143266868629.63,3700524310.7400002,1827660,78388.14037054485
2018-02-01,Aposentado,23902653947.98,281772662.4,287531,83130.70224768807
2018-02-01,Empresa_Privada,186868253105.38,2510685139.36,1985085,94136.1468679578
2018-02-01,Empresario,103306257594.17,2399395249.86,725809,142332.5662731793
2018-02-01,Setor_Publico,103606336268.01,970015622.95,966105,107241.27943444035
2018-02-01,outro,143964595830.26,3967395274.08,1837738,78337.93273592863
2018-03-01,Aposentado,23854333480.55,271957853.71,287171,83066.6518574299
2018-03-01,Empresa_Privada,188114618582.6,2398696402.39,1996893,94203.65466882802
2018-03-01,Empresario,103364916304.81,2258587193.83,726779,142223.31176989153
2018-03-01,Setor_Publico,104050118378.68,915348807.29,969659,107305.88627412316
2018-03-01,outro,144945005741.72,3882893417.41,1847292,78463.50535904449
2018-04-01,Aposentado,23748775618.31,260913868.44,286320,82944.87153642777
2018-04-01,Empresa_Privada,189424065377.08,2433283566.4900002,2009546,94262.11959172867
2018-04-01,Empresario,103420414414.83,2204913079.46,727652,142128.94957318885
2018-04-01,Setor_Publico,104391233481.82,913427650.19,972755,107315.03151545869
2018-04-01,outro,145880133127.05,3938537606.77,1858819,78480.00968736062
2018-05-01,Aposentado,23637175504.71,264546385.93,285493,82794.23840412899
2018-05-01,Empresa_Privada,190953513486.73,2397686290.37,2024688,94312.56247220807
2018-05-01,Empresario,103541553557.97,2191865505.17,728943,142043.41568266656
2018-05-01,Setor_Publico,104755553576.95,912878588.82,975389,107398.74406718755
2018-05-01,outro,146970367238.36002,3967493867.65,1867331,78706.11436234927
2018-06-01,Aposentado,23570064514.14,247282690.19,284905,82729.55727045856
2018-06-01,Empresa_Privada,192596728883.9,2191188803.95,2039579,94429.64890494557
2018-06-01,Empresario,103684883488.26,1939175288.91,730254,141984.68408014197
2018-06-01,Setor_Publico,105266694572.83,830612691.19,979361,107485.07912080428
2018-06-01,outro,148094236706.95,3679821245.86,1878758,78825.60537703632
2018-07-01,Aposentado,23453342252.85,243252169.94,283733,82659.9029822051
2018-07-01,Empresa_Privada,194074073610.77,2261551915.0,2052955,94534.01248968925
